Full Address,Latitude,Longitude,Transaction Type,Sold Price,Sold Date,Property Type,PhotoURL
"9785 Monteray Drive, OH 43064",40.154285,-83.242934,Seller/Listing,"505,000",06/21/2024,Residential
"2795 Saint Joseph Avenue, Columbus, OH 43204",39.934605,-83.071905,Seller/Listing,"199,900",07/18/2024,Residential
"5134 Phillips Run, Groveport, OH 43110",39.872651,-82.871040,Seller/Listing,"385,000",07/26/2024,Residential
"307 Rivers End Road, Gahanna, OH 43230",40.011463,-82.873404,Buyer,"339,900",07/26/2024,Residential
"5674 Isaac Road, Columbus, OH 43110",39.864412,-82.817023,Seller/Listing,"295,000",07/26/2024,Residential
"1649 Franklin Avenue, Columbus, OH 43205",39.961199,-82.955686,Buyer,"630,000",08/02/2024,Residential
"217 Tar Heel Drive, Delaware, OH 43015",40.312292,-83.105498,Seller/Listing,"404,000",08/05/2024,Residential
"565 Harding Lane, Delaware, OH 43015",40.316559,-83.086877,Buyer,"245,000",08/05/2024,Residential
"3766 E Genessee Avenue, OH 43219",40.016917,-82.908526,Buyer,"485,000",08/06/2024,Residential
"211 Talla Road S, Delaware, OH 43015",40.270412,-83.060508,Buyer,"440,000",08/09/2024,Residential
"819 Wiltshire Road, Columbus, OH 43204",39.937944,-83.075538,Buyer,"195,000",08/20/2024,Residential
"6531 Bowery Peak Lane, Columbus, OH 43081",40.113486,-82.86226,Buyer,"616,140",08/21/2024,Residential
"1602 Windsong Drive, Heath, OH 43056",40.010748,-82.464851,Buyer,"300,000",08/27/2024,Residential
"619 Palestine Road, OH 45157",39.008395,-84.304916,Seller/Listing,"420,000",08/30/2024,Residential
